word,meaning,word_type,last_sound,can_combine
ಮಹಾ,great,prefix,ಆ,yes
ಮನೆ,house,noun,ಎ,yes
ಪುಸ್ತಕ,book,noun,ಅ,yes
ಆತ್ಮ,soul,noun,ಅ,yes
ರಾಜ,king,noun,ಅ,yes
ರಾಮ,Rama,noun,ಅ,yes
ಆಲಯ,place,noun,ಅ,yes
ಗುರು,teacher,noun,ಉ,yes
ಉಪದೇಶ,advice,noun,ಅ,yes
ಇದನ್ನು,TODO,noun,ಉ,yes
ಚೌಕಾಕಾರದ,TODO,noun,ಅ,yes
ಸ್ಥಳವು,TODO,noun,ಉ,yes
ಕೆಳಗಿರುವ,TODO,noun,ಅ,yes
ಸಿರಾ,TODO,noun,ಆ,yes
ಝೀರಾ,TODO,noun,ಆ,yes
ಮಾತನಾಡುವವರ,TODO,noun,ಅ,yes
ಬುಡಕಟ್ಟು,TODO,noun,ಉ,yes
ಉಳಿದ,TODO,noun,ಅ,yes
ಭಗವತೀ,TODO,noun,ಈ,yes
ಹಾಡಿದನೆಂದರೆ,TODO,noun,ಎ,yes
ಆಕರ್ಷಿಸುತ್ತಿದೆ,TODO,noun,ಎ,yes
ಜಯನಗರ,TODO,noun,ಅ,yes
ಪ್ರಕಾರಗಳು,TODO,noun,ಉ,yes
ಕರು,TODO,noun,ಉ,yes
ವಾದರೆ,TODO,noun,ಎ,yes
ಊರಾದ,TODO,noun,ಅ,yes
ಉಪಯೋಗಿಸಲ್ಪಡುವ,TODO,noun,ಅ,yes
ಗೋಕುಲಂ,TODO,noun,ಂ,yes
ಮಾಡಿದರು,TODO,noun,ಉ,yes
ದಂಡೆಯ,TODO,noun,ಅ,yes
ಗಳು,TODO,noun,ಉ,yes
ಸಾಹಿತ್ಯ,TODO,noun,ಅ,yes
ಕವನಗಳಲ್ಲಿ,TODO,noun,ಇ,yes
ಸರಳ,TODO,noun,ಅ,yes
ಮುಳ್ಳಯ್ಯನಗಿರಿ,TODO,noun,ಇ,yes
ತೆಲಂಗಾಣ,TODO,noun,ಅ,yes
ನದಿಯ,TODO,noun,ಅ,yes
ಮ್ಯಾನ್ಷನ್,TODO,noun,ನ,yes
೧೫೨೮ರಲ್ಲಿ,TODO,noun,ಇ,yes
೦೪,TODO,noun,ಅ,yes
ವರ್ಷಗಳು,TODO,noun,ಉ,yes
ಆನೆಗುಂಡಿಯು,TODO,noun,ಉ,yes
ಹೆಸರಿಸಬಹುದಾಗಿದೆ,TODO,noun,ಎ,yes
ಮಾತ್ರವಲ್ಲ,TODO,noun,ಅ,yes
ಲೌಕಿಕ,TODO,noun,ಅ,yes
ಉಪಕರಣಗಳನ್ನು,TODO,noun,ಉ,yes
ವಿಶ್ವೆಸ್ವರಯ್ಯ,TODO,noun,ಅ,yes
ಬದಲಾವಣೆಯಾಗಿದೆ,TODO,noun,ಎ,yes
ಬಹುಕಾಲ,TODO,noun,ಅ,yes
ಉಗ್ರನರಸಿಂಹ,TODO,noun,ಅ,yes
ಹೊಟ್ಟೆ,TODO,noun,ಎ,yes
ಗೋಕರ್ಣ,TODO,noun,ಅ,yes
ಮೂರ್ತಿಗಳು,TODO,noun,ಉ,yes
ಬಾಂಬೆ,TODO,noun,ಎ,yes
ತೊಡೆಯುವಲ್ಲಿ,TODO,noun,ಇ,yes
ಕೋಟೆ,TODO,noun,ಎ,yes
ಆಶ್ರಯ,TODO,noun,ಅ,yes
ಗಂಗೋತ್ರಿಯ,TODO,noun,ಅ,yes
ಗೋವದಿಂದ,TODO,noun,ಅ,yes
ಸೀತೆ,TODO,noun,ಎ,yes
ದೇವಸ್ಥಾನ,TODO,noun,ಅ,yes
ಪ್ರಕಾರಕ್ಕೆ,TODO,noun,ಎ,yes
ವೇಬ್ಯಾಕ್,TODO,noun,ಕ,yes
ಚಿದಾನಂದಗೌಡ,TODO,noun,ಅ,yes
